gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
IGFL1	1150094	196	22	389945	96202	0	8	0	0	50	169	26262212	5.978145e-02	1
CCL11	40425	871	-32	330169	92933	0	7	1	0	37	292	18275578	6.039235e-02	1
OSM	548674	211	43	820986	256383	0	10	3	0	13	27	5215923	6.088651e-02	1
KRAS	259193	512	16	800438	192871	0	14	1	0	24	114	12605731	6.105603e-02	1
SFTA3	58829	624	-18	323164	92933	0	8	0	0	5	35	3571616	6.121910e-02	1
COL19A1	93520	947	15	3934475	1149754	0	62	16	0	13	64	6035041	6.131253e-02	1
CCDC38	396472	400	6	1990821	466533	0	13	1	0	8	17	5123924	6.428331e-02	1
FABP1	180956	612	6	452056	108344	0	10	3	0	3	15	1549039	6.498864e-02	1
STAG1	245682	512	22	4393536	1082973	0	25	3	0	6	10	4881551	6.508075e-02	1
HNRNPA2B1	915230	445	43	1239885	309621	0	10	1	0	8	10	3625321	6.522447e-02	1
ATAD2B	233701	431	27	4977753	1305732	0	13	1	0	4	1	3809319	6.578720e-02	1
ZNF251	1841573	401	17	2245803	601029	0	22	2	0	2	3	1459842	6.598823e-02	1
GZMA	222027	430	1	885432	247977	0	16	2	0	16	93	10415034	6.625837e-02	1
ADH1A	250334	786	3	1271174	356788	0	28	4	0	2	10	1250626	6.652266e-02	1
EPB42	834640	330	43	2405517	699099	0	19	4	0	21	61	12375500	6.976257e-02	1
PDE7B	283639	392	6	1584998	377803	0	31	4	0	4	10	1322077	7.003810e-02	1
RLN3	1013197	231	32	462797	146638	0	6	2	0	8	34	4745654	7.126690e-02	1
DQX1	1019591	315	50	2343406	735992	0	20	4	0	7	18	3661280	7.189249e-02	1
LACRT	615189	494	31	476340	135897	0	11	2	0	13	142	6350266	7.345518e-02	1
AMTN	264427	861	27	706104	221358	0	13	3	0	4	9	1522887	7.470696e-02	1
RNF32	299200	635	-10	1239418	331103	0	13	2	0	20	73	11846856	7.508261e-02	1
RTN2	1183590	164	41	1770397	580481	0	19	5	0	20	64	10697102	7.525488e-02	1
COL5A2	237205	422	1	4980088	1621424	0	82	11	0	8	44	5347150	7.669929e-02	1
CNTN5	3647	1135	-26	3717787	1038608	0	127	26	0	3	45	2078150	8.108176e-02	1
GABPB1	314083	161	5	1374381	396483	0	7	0	0	2	5	1911431	8.387916e-02	1
HRAS	1970020	236	42	721515	201744	0	7	0	0	9	17	4125011	8.391259e-02	1
EEF1A1	716887	139	38	1544836	440381	0	11	1	0	3	8	3321771	8.485868e-02	1
TSEN15	372562	761	8	609435	161115	0	5	0	0	11	45	9081282	8.508291e-02	1
MPPED2	29166	1075	-21	1071298	294677	0	12	2	0	1	4	1109592	8.524817e-02	1
AREG	172071	NaN	10	1735372	447386	0	30	5	0	16	99	11441967	8.547502e-02	1
GPC5	12353	1007	-9	1913299	534248	0	57	13	0	7	100	4960007	8.765810e-02	1
LDHA	599909	176	42	1347762	346047	0	8	0	0	8	28	7087659	8.904450e-02	1
COL3A1	205492	515	-5	4844191	1601810	0	131	22	0	0	22	1601810	9.226041e-02	1
KNG1	463823	395	37	2281295	596359	0	25	5	0	7	18	3730863	9.276914e-02	1
RNASE10	464497	395	17	718713	191937	0	11	1	0	12	17	2638550	9.552518e-02	1
AURKAIP1	1736268	273	28	651932	209683	0	4	0	0	11	29	6006554	9.722310e-02	1
ZNF207	679038	286	30	1668124	474005	0	8	1	0	2	10	3353060	1.001449e-01	1
C2orf80	321897	440	5	685089	175125	0	10	1	0	41	142	19680781	1.004984e-01	1
DNAJC21	241905	675	21	2038455	453924	0	13	2	0	6	10	3286746	1.012291e-01	1
CCDC90B	308108	414	18	896173	220424	0	5	0	0	5	14	3189610	1.043162e-01	1
FOXH1	1899637	200	22	1153023	396483	0	8	1	0	10	16	5186502	1.075275e-01	1
MACC1	220237	676	13	2841228	766347	0	38	8	0	7	21	3179336	1.075523e-01	1
TBL1Y	0	0	0	1810559	466066	0	11	0	0	6	2	3109753	1.078361e-01	1
TCEAL6	132641	NaN	4	624379	154577	0	10	1	0	5	13	2107104	1.084685e-01	1
TIMM17A	751933	168	31	587019	166719	0	5	0	0	29	112	15885939	1.087581e-01	1
DNAH12	455990	454	29	10669549	2715605	0	22	0	0	0	0	2715605	1.098213e-01	1
CD1D	120333	711	8	1118465	321763	0	13	3	0	12	80	9044389	1.104351e-01	1
MPP7	245887	473	-2	2009034	500157	0	54	10	0	5	70	4390267	1.110636e-01	1
OTC	125559	NaN	36	1217469	325032	0	11	1	0	10	26	4367384	1.111357e-01	1
CYLC2	13384	1215	-31	1215134	276931	0	43	7	0	6	58	3357730	1.111722e-01	1
SAA1	601955	371	17	422168	111613	0	7	0	0	32	119	15498796	1.118725e-01	1
DICER1	215900	674	16	6500640	1727433	0	36	7	0	10	25	5446621	1.124191e-01	1
NME7	270055	491	12	1313204	335773	0	12	2	0	9	25	4860069	1.127747e-01	1
ITM2A	13949	NaN	29	891036	246576	0	10	0	0	1	3	1205327	1.149822e-01	1
TOMM70A	377740	361	20	2079084	542187	0	7	0	0	3	0	2209844	1.167191e-01	1
KRTAP12-1	819099	391	35	314758	95735	0	6	1	0	17	90	12914418	1.176785e-01	1
C6orf165	222811	556	26	2128586	557131	0	27	2	0	9	31	5210786	1.182509e-01	1
CDCA8	445023	375	27	970426	266657	0	6	1	0	14	33	6232582	1.199288e-01	1
COL4A4	248623	465	5	5559635	1809625	0	174	30	0	0	30	1809625	1.206688e-01	1
COX7B	549293	NaN	19	282068	72385	0	4	0	0	50	262	31232026	1.207049e-01	1
MMP27	530224	567	-10	1767128	449254	0	25	2	0	3	5	1304798	1.215860e-01	1
SLC25A14	301928	NaN	28	1117064	303550	0	6	1	0	4	34	7657866	1.226606e-01	1
OCIAD2	256817	372	61	560867	127024	0	11	2	0	8	50	4310410	1.227067e-01	1
CLEC17A	1022856	198	29	1022730	260586	0	16	3	0	20	77	8049679	1.227184e-01	1
LY6G5C	2517236	193	20	509964	135897	0	3	0	0	4	2	2469029	1.230046e-01	1
KIAA1210	556208	NaN	8	5662375	1597607	0	63	14	0	7	39	6269008	1.230682e-01	1
BOLA1	798975	560	17	429640	155978	0	4	0	0	4	4	1011055	1.241387e-01	1
HFE2	NaN	NaN	NaN	1351498	459995	0	20	3	0	1	3	981167	1.245397e-01	1
NDST3	150671	985	-20	2968252	772418	0	38	11	0	3	28	3263863	1.263460e-01	1
RSL1D1	558203	294	37	1658784	452523	0	6	0	0	1	0	2188362	1.277388e-01	1
CADM2	8467	1155	-19	1548105	431508	0	42	7	0	7	24	1877807	1.294387e-01	1
COPS2	317456	528	8	1601810	363793	0	7	2	0	14	25	7497218	1.301074e-01	1
METTL7A	569122	220	40	806976	228363	0	7	0	0	16	51	8544232	1.307102e-01	1
HEMK1	583785	302	50	1146018	332037	0	7	1	0	17	29	6962036	1.357770e-01	1
FBXL21	489402	443	19	1451903	400219	0	10	5	0	28	70	10936673	1.368166e-01	1
MS4A1	333232	899	13	1015725	270393	0	15	4	0	8	32	3970901	1.382544e-01	1
SMAD1	204089	1182	24	1574257	412361	0	9	0	0	8	15	4327689	1.384898e-01	1
TSNAXIP1	1039476	143	49	2277092	573943	0	16	2	0	22	45	10002673	1.394300e-01	1
NKAIN3	138003	904	-16	682287	177927	0	17	2	0	6	45	2923887	1.399430e-01	1
ELSPBP1	881809	433	29	802306	172790	0	13	4	0	1	13	1179642	1.400129e-01	1
PLA2G4A	265620	592	-18	2607728	639790	0	20	3	0	21	72	10847476	1.401465e-01	1
MUC21	2483101	261	36	1787676	606633	0	19	4	0	5	11	2785655	1.416615e-01	1
TMPRSS11D	210733	767	22	1421081	393214	0	15	1	0	17	48	9503917	1.419551e-01	1
KLK8	536101	606	25	1040943	275997	0	13	1	0	11	42	4950200	1.426671e-01	1
MYBPC1	348152	448	6	4138087	1045613	0	45	8	0	32	89	13313236	1.428674e-01	1
BTN3A2	378286	330	51	1133409	319428	0	12	0	0	15	40	6757490	1.429168e-01	1
TAOK1	822855	224	26	3454866	863016	0	18	2	0	8	19	3790639	1.435447e-01	1
DEFB112	65301	1242	-3	388544	94801	0	12	1	0	9	100	5238339	1.439548e-01	1
LGI1	488719	532	4	1895086	489416	0	22	7	0	5	21	2853370	1.442655e-01	1
KRT7	742854	178	53	1556044	464198	0	13	2	0	20	66	10396354	1.444771e-01	1
NUDT2	478815	302	38	500624	132628	0	4	0	0	6	9	2597921	1.454985e-01	1
MMAA	224882	1168	19	1394929	399752	0	13	3	0	5	13	1362706	1.459663e-01	1
LEFTY1	924499	239	8	1178708	383407	0	10	1	0	9	21	4832516	1.467285e-01	1
HTN1	59679	975	3	229297	42497	0	5	0	0	50	394	30763625	1.482040e-01	1
SPATA8	93099	986	-46	355854	100872	0	19	3	0	3	50	1599475	1.488859e-01	1
CDK4	1160849	344	39	1004050	312890	0	10	1	0	15	45	8436355	1.492182e-01	1
FBXO40	289905	613	25	2359751	641191	0	51	13	0	3	36	2122515	1.519408e-01	1
SLC7A7	1153069	351	36	1691941	510431	0	16	3	0	16	37	7418762	1.520095e-01	1
CAB39L	373856	343	50	1175439	290007	0	8	2	0	21	63	10164722	1.520458e-01	1
KITLG	144795	419	-29	968091	233967	0	15	2	0	3	22	2467161	1.520610e-01	1
TNFSF18	251425	492	0	678551	174658	0	12	2	0	15	86	7937132	1.528533e-01	1
DEFB132	1010597	348	24	324565	87329	0	2	0	0	50	196	28633638	1.542461e-01	1
MFSD3	1755818	291	7	1259966	501091	0	3	0	0	7	11	4644315	1.546896e-01	1
LENEP	1612870	224	35	202678	66314	0	2	0	0	50	172	24253178	1.556427e-01	1
NDUFAF2	205876	502	11	594958	139166	0	7	0	0	13	65	6929346	1.559663e-01	1
CNKSR1	896535	217	30	2398045	717779	0	31	12	0	3	88	7343575	1.598297e-01	1
TNFRSF11B	179358	381	9	1374848	337174	0	23	5	0	20	104	9566962	1.601368e-01	1
XAGE2	NaN	NaN	NaN	765880	188201	0	7	0	0	1	0	709373	1.617519e-01	1
SPRR1A	426723	748	28	302149	81725	0	5	1	0	5	22	1868000	1.619459e-01	1
CBX8	633863	209	31	1257164	407224	0	11	1	0	1	1	1070364	1.621870e-01	1
TYR	28803	973	-28	1784874	467934	0	14	2	0	3	3	1225875	1.630674e-01	1
DCUN1D3	252367	503	32	1010588	276931	0	13	1	0	11	49	6263404	1.639673e-01	1
CUL5	421044	572	14	2736153	647262	0	10	2	0	4	3	1920304	1.641862e-01	1
NGEF	404109	215	33	2536277	683221	0	23	5	0	2	8	1570054	1.653602e-01	1
MRPL33	1044890	146	30	333905	66781	0	2	0	0	50	190	24988236	1.653651e-01	1
FAM105A	514082	380	28	1230078	309621	0	14	3	0	15	43	6718729	1.655708e-01	1
LY6G6F	2517236	193	20	985370	297946	0	4	1	0	4	3	2631078	1.662405e-01	1
DNTT	780047	804	30	1747047	452523	0	18	7	0	8	41	4634041	1.663114e-01	1
TCP10L	265057	182	52	721048	207815	0	10	1	0	50	188	23375685	1.665713e-01	1
PCDH11Y	0	0	0	4428561	1311336	0	24	5	0	6	7	3955023	1.674481e-01	1
PRR15L	1183803	203	21	345580	97136	0	5	2	0	10	39	4188056	1.694285e-01	1
COX4I2	837796	213	18	597760	147572	0	5	0	0	13	31	6508112	1.694598e-01	1
RPL22	627248	240	31	456259	105542	0	5	1	0	18	89	9345604	1.707656e-01	1
XPOT	466767	402	-15	3322705	859280	0	17	3	0	7	14	3802314	1.711500e-01	1
C14orf2	694566	320	33	275997	60243	0	2	0	0	50	201	33011763	1.716579e-01	1
KIAA1109	325000	770	8	16934354	4573798	0	86	15	0	4	21	6707521	1.722723e-01	1
RASGRP4	1459788	221	4	2250940	671546	0	16	5	0	20	54	8696474	1.724550e-01	1
SSR4	2103463	NaN	30	594958	169988	0	6	2	0	13	70	8789407	1.733880e-01	1
RFPL3	413546	556	-16	1039542	302616	0	18	4	0	3	28	2832822	1.734706e-01	1
TMEM14B	263716	468	14	397884	113481	0	5	1	0	50	189	22826960	1.758271e-01	1
FLG2	387153	671	6	7722779	2342005	0	147	25	0	0	25	2342005	1.758704e-01	1
NXPH3	1007676	348	26	824255	244708	0	8	2	0	9	13	3405364	1.760083e-01	1
SLC27A6	39183	962	-10	2089825	566471	0	56	17	0	5	48	2546084	1.760707e-01	1
KCNQ5	648013	975	15	3150849	928863	0	59	13	0	3	27	2258879	1.771317e-01	1
GKN1	338803	222	16	698632	172790	0	10	1	0	23	88	11827709	1.803230e-01	1
NONO	728362	NaN	26	1615820	424036	0	18	2	0	11	71	11302334	1.807260e-01	1
KRTAP5-6	NaN	NaN	NaN	428706	120486	0	7	1	0	50	586	52127474	1.815030e-01	1
NUPL2	509506	218	23	1414076	401620	0	8	1	0	13	22	7470132	1.816545e-01	1
MOG	484408	755	34	1029268	289073	0	15	3	0	7	22	2256544	1.818400e-01	1
BRD7	303953	520	14	2289234	547791	0	12	0	0	0	0	547791	1.843942e-01	1
NOSTRIN	169372	724	12	1998293	467467	0	15	5	0	5	11	2528805	1.844473e-01	1
RC3H1	445943	353	13	3773360	1096516	0	13	2	0	3	2	2867380	1.869419e-01	1
PNPLA1	839966	358	30	1765260	551994	0	23	8	0	10	57	5905215	1.873805e-01	1
LAYN	418517	326	21	1270707	339042	0	8	0	0	1	0	955015	1.874867e-01	1
MUC2	1467711	466	43	9310112	2794528	0	8	0	0	0	0	2794528	1.875286e-01	1
PRKAR1A	662487	313	-28	1306199	355387	0	8	2	0	3	8	1509811	1.877916e-01	1
CDH12	127633	1075	-20	2655362	742063	0	49	11	0	1	22	2353213	1.882156e-01	1
IDO2	11054	414	0	1430421	395082	0	32	10	0	7	69	4180117	1.887132e-01	1
NUCKS1	732566	281	35	860681	198475	0	7	1	0	27	131	12064478	1.889021e-01	1
TMEM52	1434423	233	27	674348	233500	0	5	3	0	21	78	10825994	1.892849e-01	1
FGB	59883	1034	20	1696611	413295	0	15	4	0	6	14	2278026	1.901091e-01	1
TSPAN12	106040	717	3	1053085	272261	0	15	3	0	10	68	4220746	1.901763e-01	1
NPPA	519155	207	43	500624	152242	0	8	0	0	3	7	1325346	1.912511e-01	1
SYCE1	563924	525	-10	1287986	316159	0	21	4	0	2	18	1503740	1.916946e-01	1
CASP5	45234	626	-20	1542968	393214	0	14	2	0	8	22	3861623	1.918586e-01	1
SPINK4	856503	167	38	307286	80791	0	4	0	0	50	212	27839738	1.924439e-01	1
GRAMD1C	442573	363	36	2305579	579080	0	16	4	0	29	85	14335966	1.928846e-01	1
COX7C	84088	829	-14	222292	60710	0	3	0	0	7	46	3283944	1.932911e-01	1
IRF2	207866	400	55	1207662	308220	0	9	2	0	42	144	23707722	1.946604e-01	1
TLL1	81353	538	-19	3506703	867219	0	120	23	0	0	23	867219	1.958814e-01	1
EVX1	473864	394	13	1282849	443183	0	6	1	0	4	3	1870802	1.964799e-01	1
ACSBG1	421357	314	52	2441476	681353	0	25	4	0	12	29	5382642	1.970650e-01	1
DNAJC5B	270769	377	45	687424	175592	0	22	6	0	2	10	675749	1.970877e-01	1
ERH	911402	431	39	374534	86395	0	3	0	0	50	146	24445115	2.007442e-01	1
FCRLA	598281	504	20	1258098	379671	0	19	6	0	6	39	3020556	2.015412e-01	1
TECTB	170055	567	-5	1144617	292809	0	15	2	0	1	3	1012456	2.023674e-01	1
IDH1	260367	539	17	1430421	358656	0	22	3	0	12	76	6415179	2.024104e-01	1
GATA3	182932	675	-2	1448634	444117	0	11	2	0	4	5	1784407	2.024130e-01	1
EDN1	198728	410	27	735992	181663	0	10	0	0	4	22	2355548	2.024657e-01	1
LRRN3	65006	840	2	2317721	662206	0	16	1	0	3	3	2235062	2.031962e-01	1
APOC3	421374	323	39	342778	94334	0	4	1	0	36	135	18924708	2.033386e-01	1
PPBP	230379	408	2	431975	124222	0	8	1	0	8	43	5467636	2.038438e-01	1
CREB3L2	227556	553	20	1740042	511365	0	13	2	0	3	14	3526784	2.043645e-01	1
RPRD1A	370331	430	22	1067562	284403	0	7	1	0	15	54	10451460	2.055582e-01	1
JAKMIP1	366026	678	41	2921085	787362	0	32	8	0	28	79	11665193	2.065984e-01	1
SLK	508085	271	37	4274918	1023664	0	11	1	0	8	10	6570223	2.067863e-01	1
CXCL5	230379	408	2	383407	116750	0	6	0	0	39	145	22095171	2.083508e-01	1
EDN3	831202	402	-9	846671	240505	0	10	6	0	13	69	6400702	2.092592e-01	1
TCTEX1D2	1164213	231	36	500624	122821	0	5	0	0	32	91	13220770	2.106738e-01	1
FUBP1	373296	256	1	2201438	618775	0	11	2	0	11	41	8731032	2.123160e-01	1
SELPLG	448698	280	40	1256697	448320	0	13	4	0	4	12	2323792	2.129751e-01	1
ZFAND2A	774288	346	36	521172	114882	0	6	1	0	37	107	18435759	2.131793e-01	1
TNPO1	469585	388	30	3131235	781758	0	8	1	0	2	8	3914861	2.137604e-01	1
ACD	1065785	147	41	1783006	593090	0	18	6	0	12	77	11568057	2.140182e-01	1
POLR2D	588745	248	39	497355	123288	0	2	1	0	35	134	20753480	2.143192e-01	1
SPACA3	286646	837	-10	725718	210150	0	11	4	0	5	36	4697086	2.143344e-01	1
CD63	1814311	384	26	818184	225561	0	3	1	0	36	68	15911624	2.147436e-01	1
LY6G6D	2517236	193	20	440381	134029	0	3	0	0	4	2	2467161	2.163832e-01	1
APOC1	1003719	196	6	290941	78923	0	3	0	0	50	167	22452893	2.172534e-01	1
CPSF6	758784	353	3	1802153	568339	0	14	3	0	12	22	4822709	2.178818e-01	1
UPP2	115042	838	-4	1277245	346514	0	11	2	0	2	3	1273509	2.189127e-01	1
CD3D	963668	192	48	580014	168120	0	7	2	0	38	148	19312318	2.204484e-01	1
OLFM3	66875	991	-15	1552308	404889	0	21	7	0	5	27	2593251	2.205145e-01	1
RBP2	232582	754	21	476807	110212	0	6	1	0	17	68	10479947	2.205379e-01	1
SLC1A2	643540	263	15	1906294	566471	0	17	4	0	9	32	5495656	2.211746e-01	1
FAM107A	534993	383	31	489883	136364	0	5	0	0	50	181	25722827	2.220854e-01	1
